Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Bilanciamento TCS medio,Training Stress Score®,Passi,Temperatura min,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-11-15 11:15:25,false,"Latina - 12 km L","12.00","794","00:56:58","160","172","3.7","177","182","4:45","4:12","29","24","1.19","7.6","9.3","248","49.7% S / 50.3% D","0.0","9,982","25.0","No","00:00:00.8","13","28.0","00:56:54","00:56:58","19","34"
Corsa,2025-11-14 16:26:46,false,"Latina - 6L 2M","8.01","516","00:36:51","160","173","3.4","178","185","4:36","3:55","12","13","1.22","7.3","9.1","250","49.8% S / 50.2% D","0.0","44","18.0","No","00:00:01.3","9","24.0","00:36:47","00:36:51","16","27"
Corsa,2025-11-12 18:17:33,false,"Latina - 4×2km rec 2'","8.26","558","00:41:17","163","183","3.4","162","236","5:00","3:33","6","10","1.24","6.9","8.8","254","49.8% S / 50.2% D","0.0","6,482","18.0","No","00:00:00.5","13","22.0","00:35:36","00:41:17","15","24"
Corsa,2025-11-10 18:01:30,false,"Latina - 7 km D.A.","7.01","409","00:31:38","162","175","3.2","177","188","4:31","3:50","7","12","1.24","7.4","9.4","252","49.7% S / 50.3% D","0.0","5,506","20.0","No","00:00:01.3","15","24.0","00:31:32","00:31:38","11","24"
Corsa,2025-11-09 09:32:34,false,"Mezza maratona di Sabaudia - 10k","9.62","608","00:41:27","171","183","3.9","184","195","4:18","3:43","54","53","1.27","7.0","9.1","235","49.8% S / 50.2% D","0.0","7,496","22.0","No","00:02:24.9","10","25.0","00:41:24","00:41:27","20","38"
Corsa,2025-11-08 10:16:38,false,"Latina - 30' L","5.20","341","00:25:39","155","164","2.9","176","181","4:56","4:23","6","6","1.15","8.2","9.7","254","49.9% S / 50.1% D","0.0","4,462","23.0","No","00:01:04.9","6","27.0","00:25:37","00:25:39","19","28"
Corsa,2025-11-07 15:53:36,false,"Latina - 4L 2M","6.01","387","00:27:47","163","175","3.2","176","185","4:37","4:08","10","11","1.23","7.7","9.7","251","49.8% S / 50.2% D","0.0","4,838","22.0","No","00:00:01.2","7","26.0","00:27:44","00:27:47","19","25"
Corsa,2025-11-05 18:49:55,false,"Latina - 5x1km TR rec 2'","5.36","377","00:30:24","160","183","3.1","150","245","5:40","3:25","12","12","1.14","6.4","7.7","266","50.4% S / 49.6% D","0.0","4,358","20.0","No","00:00:00.4","11","25.0","00:23:58","00:30:24","39","45"
Corsa,2025-11-03 16:31:10,false,"Latina - 7 km D.A. Easy","7.01","439","00:33:58","158","175","3.2","172","189","4:51","3:42","13","16","1.19","7.9","9.7","259","49.7% S / 50.3% D","0.0","5,760","22.0","No","00:00:01.3","15","29.0","00:33:53","00:33:58","17","30"
Corsa,2025-11-01 11:56:11,false,"Latina - 12 km L","12.01","820","00:59:09","166","180","4.3","176","180","4:56","4:27","25","22","1.15","7.9","9.3","250","49.9% S / 50.1% D","0.0","10,314","26.0","No","00:00:01.6","13","32.0","00:59:04","00:59:09","18","34"
